filename,method,nr_fuzzy_free,nr_fuzzy_mono
112.png,log,76.30020850886278,65.92749777095555
112.png,retinex,36.266940078044115,31.246610497200816
112.png,hist_eq,58.695460053244,60.93697082679015
113.png,clahe,39.199849436051004,34.12582509008317
113.png,gamma,39.199849436051004,34.12582509008317
113.png,log,64.37492913140919,61.41319252905608
113.png,retinex,5.626754256740665,18.289199713501883
113.png,hist_eq,54.22030024455378,42.95605574860609
114.png,clahe,39.199849436051004,34.12582509008317
114.png,gamma,39.24994910106941,34.19442963754654
114.png,log,43.40329906425403,40.57810958169612
114.png,retinex,4.4890615383115495,22.725789058944642
114.png,hist_eq,54.22030024455378,42.95605574860609
115.png,clahe,39.199849436051004,34.12582509008317
115.png,gamma,50.01260788377288,53.92069665563528
115.png,log,39.95612922724722,37.25000012551524
115.png,retinex,3.691660068161281,25.835365844663954
115.png,hist_eq,59.645685724095856,64.75491874889985
116.png,clahe,39.199849436051004,34.12582509008317
116.png,gamma,50.9047760968662,55.05540097230073
116.png,log,40.58059060425753,39.829636217022276
116.png,retinex,3.2859591289768617,27.41745249694295
116.png,hist_eq,59.39585890662456,63.751130061738046
117.png,clahe,39.199849436051004,34.12582509008317
117.png,gamma,39.491537114569695,34.52525093810164
117.png,log,47.7609871650936,45.8491166421699
117.png,retinex,14.433694456292287,20.306638836591564
117.png,hist_eq,54.22030024455378,42.95605574860609
118.png,clahe,39.199849436051004,34.12582509008317
118.png,gamma,40.476202852474806,35.87361419216452
118.png,log,57.090869736476655,55.92504950352185
118.png,retinex,11.827055440618226,19.819787239286505
118.png,hist_eq,54.22030024455378,42.95605574860609
119.png,clahe,54.22348041400601,54.37780273305593
119.png,gamma,54.105501629258285,54.23838904749215
119.png,log,84.63930005919048,71.15184889722572
119.png,retinex,19.8413031502941,15.121688869243068
119.png,hist_eq,62.68874795262634,76.98175440347968
12.png,clahe,39.199849436051004,34.12582509008317
12.png,gamma,48.28853832632597,45.387086097866614
12.png,log,67.86280519180625,61.55466509304494
12.png,retinex,32.976031707533586,29.600136399550045
12.png,hist_eq,54.22030024455378,42.95605574860609
120.png,clahe,54.051831482838885,54.174967874498414
120.png,gamma,54.40441810388046,54.591613972565945
120.png,log,84.04764603039199,70.94026334540594
120.png,retinex,19.8413031502941,15.121688869243068
120.png,hist_eq,62.708107559897215,77.05954010704461
121.png,clahe,39.199849436051004,34.12582509008317
121.png,gamma,41.30225565241392,37.004779011327734
121.png,log,52.607456752001845,49.212421311910425
121.png,retinex,16.670508205123106,27.456729042721857
121.png,hist_eq,54.14788043685606,42.94087185158737
122.png,clahe,39.199849436051004,34.12582509008317
122.png,gamma,41.054316547252064,36.66526077099906
122.png,log,64.66093933159827,59.53634242079389
122.png,retinex,4.697283371289863,21.91379936197647
122.png,hist_eq,54.22030024455378,42.95605574860609
123.png,clahe,47.841656288195296,46.398276145733824
123.png,gamma,58.335132256833305,59.23647743791412
123.png,log,63.06297296430589,63.8866317965046
123.png,retinex,9.345436610440208,18.733715328943546
123.png,hist_eq,60.33223303696306,67.51342335153969
124.png,clahe,48.82753455108979,47.89876117765097
124.png,gamma,58.26500903903991,59.15361392769003
124.png,log,63.04393633180368,63.92252168027636
124.png,retinex,12.907461571314895,22.616148880382145
124.png,hist_eq,60.388471151057594,67.73938461257158
125.png,clahe,44.00185701343717,40.701508912345794
125.png,gamma,48.303295259930344,46.59173241451758
125.png,log,80.72162373338777,69.08397841375066
125.png,retinex,30.980985987836554,25.129084092507707
125.png,hist_eq,60.34590704730612,67.56836467861349
126.png,clahe,40.90534177241759,36.46126046466521
126.png,gamma,45.77938786897588,43.13559105444456
126.png,log,85.59658108934505,75.01286889697765
126.png,retinex,29.3416174137476,23.804387486830663
126.png,hist_eq,59.50494503545239,64.18943137443128
127.png,clahe,39.199849436051004,34.12582509008317
127.png,gamma,39.199849436051004,34.12582509008317
127.png,log,54.59795728580647,53.42433675608853
127.png,retinex,39.199849436051004,34.12582509008317
127.png,hist_eq,54.22030024455378,42.95605574860609
128.png,clahe,39.199849436051004,34.12582509008317
128.png,gamma,39.199849436051004,34.12582509008317
128.png,log,50.157524157688776,46.404135473705
128.png,retinex,31.233062821744788,26.304891853374418
128.png,hist_eq,54.22030024455378,42.95605574860609
129.png,clahe,49.063743945398436,46.12678337450674
129.png,gamma,39.199849436051004,34.12582509008317
129.png,log,77.89761733442022,64.55565081384698
129.png,retinex,39.199849436051004,34.12582509008317
129.png,hist_eq,56.671854692720686,52.80624975875811
13.png,clahe,60.88626049644197,56.67310107565421
13.png,gamma,51.19852693920635,51.68127021304951
13.png,log,86.83134019191263,69.92947648525016
13.png,retinex,25.070214231794026,19.851420044381676
13.png,hist_eq,55.84605712073284,49.48824623520796
130.png,clahe,49.53017137865611,46.6655817519327
130.png,gamma,39.199849436051004,34.12582509008317
130.png,log,76.50008950509033,65.51655378275697
130.png,retinex,39.199849436051004,34.12582509008317
130.png,hist_eq,56.80221623933494,53.330034383070235
131.png,clahe,63.39097645417061,63.26824474056901
131.png,gamma,70.84134263602085,66.77142864129307
131.png,log,75.34437511112772,79.97175221500616
131.png,retinex,44.04506660603121,41.41955704796758
131.png,hist_eq,58.825404045582175,61.4590777438695
132.png,clahe,63.36900718178626,63.30966354887623
132.png,gamma,71.38374687492482,67.05411606828355
132.png,log,74.59036382461231,80.33645947881365
132.png,retinex,31.135496685759367,33.13972169949852
132.png,hist_eq,58.99405674367558,62.136713844425174
135.png,clahe,40.11396430950637,37.902013347935856
135.png,gamma,49.608259132914405,50.910101403588754
135.png,log,63.384183537161505,63.28105147001025
135.png,retinex,5.194939519758541,19.97312071454802
135.png,hist_eq,49.08250146906367,41.8788393075517
136.png,clahe,40.063874542822056,37.695093633264875
136.png,gamma,49.17213516487772,50.378725666477756
136.png,log,68.3435749056738,65.93563167166444
136.png,retinex,5.16927682104569,20.073195940345325
136.png,hist_eq,46.43878590970861,41.32454475643103
137.png,clahe,39.199849436051004,34.12582509008317
137.png,gamma,39.199849436051004,34.12582509008317
137.png,log,37.50103968483788,32.45811660367171
137.png,retinex,6.142777256793843,18.298826455034863
137.png,hist_eq,54.22030024455378,42.95605574860609
138.png,clahe,39.199849436051004,34.12582509008317
138.png,gamma,39.199849436051004,34.12582509008317
138.png,log,37.01751912154115,31.983448179977664
138.png,retinex,5.778520488008627,18.29203101032722
138.png,hist_eq,54.22030024455378,42.95605574860609
139.png,clahe,39.199849436051004,34.12582509008317
139.png,gamma,39.199849436051004,34.12582509008317
139.png,log,39.86261539449958,33.93369419928925
139.png,retinex,22.700234548597553,21.25469770271512
139.png,hist_eq,54.22030024455378,42.95605574860609
14.png,clahe,60.964450278071034,56.675158185352736
14.png,gamma,51.308610113335554,51.778527718336285
14.png,log,86.72167153180708,69.63701264138011
14.png,retinex,25.073494611429748,19.93416040742466
