filename,method,musiq,maniqa,clipiqa
126.png,retinex,42.472412109375,0.2408171147108078,0.5945644378662109
126.png,hist_eq,34.49047088623047,0.1946369707584381,0.3125515878200531
127.png,clahe,28.07653045654297,0.23857241868972778,0.5447638630867004
127.png,gamma,32.29158020019531,0.2753710150718689,0.4774765968322754
127.png,log,39.49467468261719,0.3119364082813263,0.6220374703407288
127.png,retinex,31.571659088134766,0.27097785472869873,0.5714625716209412
127.png,hist_eq,42.181861877441406,0.3015410006046295,0.5347155928611755
128.png,clahe,28.711105346679688,0.24311937391757965,0.4528302252292633
128.png,gamma,30.107532501220703,0.29698294401168823,0.453425794839859
128.png,log,36.71070861816406,0.3312748968601227,0.5675392150878906
128.png,retinex,43.05671691894531,0.3100137710571289,0.5535850524902344
128.png,hist_eq,41.6386833190918,0.3041602671146393,0.5496865510940552
129.png,clahe,41.91553497314453,0.3415874242782593,0.5633813738822937
129.png,gamma,44.13825225830078,0.37974774837493896,0.5374871492385864
129.png,log,56.775672912597656,0.46225985884666443,0.745689868927002
129.png,retinex,29.689090728759766,0.28754356503486633,0.5013682246208191
129.png,hist_eq,47.3736572265625,0.36251452565193176,0.6352440714836121
13.png,clahe,41.114898681640625,0.3655955493450165,0.5502542853355408
13.png,gamma,42.34320068359375,0.3926176130771637,0.6156371235847473
13.png,log,45.92600631713867,0.45492154359817505,0.6698084473609924
13.png,retinex,33.45293426513672,0.32986563444137573,0.6445345282554626
13.png,hist_eq,42.342124938964844,0.4182525873184204,0.583526074886322
130.png,clahe,42.1400146484375,0.3496921956539154,0.5161344408988953
130.png,gamma,45.14609909057617,0.38136518001556396,0.5506908893585205
130.png,log,55.99174118041992,0.47294121980667114,0.6718468070030212
130.png,retinex,30.276031494140625,0.2612025737762451,0.519557535648346
130.png,hist_eq,48.7867431640625,0.37824687361717224,0.6549501419067383
131.png,clahe,46.63436508178711,0.5151976346969604,0.4740835726261139
131.png,gamma,50.20086669921875,0.5144551396369934,0.5086146593093872
131.png,log,57.012115478515625,0.5877048373222351,0.6428173780441284
131.png,retinex,51.95515823364258,0.410401314496994,0.642846405506134
131.png,hist_eq,54.44351577758789,0.5385590195655823,0.5233986973762512
132.png,clahe,48.265419006347656,0.5137842893600464,0.43609118461608887
132.png,gamma,50.70588684082031,0.5047837495803833,0.4453924298286438
132.png,log,56.89491653442383,0.5846087336540222,0.6155950427055359
132.png,retinex,49.8553466796875,0.4167095124721527,0.5057483911514282
132.png,hist_eq,55.79373550415039,0.5209556221961975,0.4945763051509857
135.png,clahe,30.278919219970703,0.3130234181880951,0.2598777115345001
135.png,gamma,34.60803985595703,0.3499026298522949,0.40458250045776367
135.png,log,39.00151824951172,0.4159744381904602,0.4420054852962494
135.png,retinex,41.81616973876953,0.28730881214141846,0.5297107100486755
135.png,hist_eq,48.06739044189453,0.4148741662502289,0.5107763409614563
136.png,clahe,29.51333999633789,0.2999924421310425,0.2582884728908539
136.png,gamma,34.356407165527344,0.3357560634613037,0.39542707800865173
136.png,log,42.90476608276367,0.42646947503089905,0.431784451007843
136.png,retinex,44.43394088745117,0.2872777581214905,0.5826364159584045
136.png,hist_eq,47.51287841796875,0.39842885732650757,0.5423769354820251
137.png,clahe,31.95804214477539,0.27754777669906616,0.2932966351509094
137.png,gamma,30.436275482177734,0.3195020854473114,0.41814762353897095
137.png,log,33.09943389892578,0.332044392824173,0.4672372043132782
137.png,retinex,35.25154495239258,0.26327624917030334,0.611369788646698
137.png,hist_eq,30.111522674560547,0.29561278223991394,0.3197273313999176
138.png,clahe,31.784496307373047,0.27801549434661865,0.25731512904167175
138.png,gamma,31.307655334472656,0.32824718952178955,0.47263023257255554
138.png,log,33.87912368774414,0.3430193364620209,0.49614134430885315
138.png,retinex,30.31350326538086,0.25834596157073975,0.6522934436798096
138.png,hist_eq,31.391357421875,0.29152894020080566,0.2977456748485565
139.png,clahe,30.513349533081055,0.2041255235671997,0.23878459632396698
139.png,gamma,33.557456970214844,0.2809007465839386,0.4687727093696594
139.png,log,35.272464752197266,0.2848021984100342,0.5650337338447571
139.png,retinex,42.92119598388672,0.24845170974731445,0.6857321858406067
139.png,hist_eq,42.44624328613281,0.3262578248977661,0.460968554019928
14.png,clahe,41.431373596191406,0.37434452772140503,0.6060218214988708
14.png,gamma,43.901329040527344,0.3894212245941162,0.6131736040115356
14.png,log,48.07774353027344,0.44954144954681396,0.7019280791282654
14.png,retinex,40.93832015991211,0.33465075492858887,0.676497757434845
14.png,hist_eq,45.38057327270508,0.4088608920574188,0.6296820044517517
140.png,clahe,28.734880447387695,0.21361777186393738,0.30432364344596863
140.png,gamma,31.277374267578125,0.2784824073314667,0.42913708090782166
140.png,log,32.01517868041992,0.279145747423172,0.5895087122917175
140.png,retinex,43.210147857666016,0.2481219619512558,0.586577296257019
140.png,hist_eq,44.24644470214844,0.30649831891059875,0.4688989818096161
141.png,clahe,24.833221435546875,0.20226038992404938,0.3792524039745331
141.png,gamma,27.67620849609375,0.26547718048095703,0.5993120074272156
141.png,log,27.53741455078125,0.2677830457687378,0.620596706867218
141.png,retinex,41.513519287109375,0.3915809988975525,0.6108260154724121
141.png,hist_eq,29.35238265991211,0.28794336318969727,0.6097853779792786
142.png,clahe,22.077041625976562,0.23756365478038788,0.48956719040870667
142.png,gamma,25.277908325195312,0.29380038380622864,0.6384407877922058
142.png,log,30.63715362548828,0.2992493510246277,0.6009450554847717
142.png,retinex,40.96360778808594,0.37307530641555786,0.6583369374275208
142.png,hist_eq,31.839611053466797,0.28355130553245544,0.6228181719779968
143.png,clahe,30.483570098876953,0.22361603379249573,0.25296202301979065
143.png,gamma,32.19325256347656,0.28722313046455383,0.44394755363464355
143.png,log,31.797632217407227,0.32654157280921936,0.40344640612602234
143.png,retinex,38.68227767944336,0.3151971101760864,0.5686676502227783
143.png,hist_eq,34.70719909667969,0.3343396782875061,0.4948137700557709
144.png,clahe,29.03543472290039,0.2220255732536316,0.268036812543869
144.png,gamma,31.133481979370117,0.2591342031955719,0.3645347058773041
144.png,log,31.59966278076172,0.2779865562915802,0.41208115220069885
144.png,retinex,39.81608581542969,0.3167019784450531,0.5737000703811646
144.png,hist_eq,30.524089813232422,0.3267329931259155,0.4830019474029541
145.png,clahe,44.701087951660156,0.4338296949863434,0.39643946290016174
145.png,gamma,45.965789794921875,0.4337588846683502,0.4759368896484375
145.png,log,47.17790222167969,0.49498534202575684,0.5591797828674316
145.png,retinex,43.09043502807617,0.35745730996131897,0.5748727917671204
145.png,hist_eq,45.299373626708984,0.47281143069267273,0.5107660889625549
147.png,clahe,38.768768310546875,0.2613145709037781,0.1687542200088501
147.png,gamma,38.228660583496094,0.31666308641433716,0.3340064287185669
147.png,log,42.73382568359375,0.3556196689605713,0.4049437642097473
147.png,retinex,31.677616119384766,0.2924968898296356,0.5932782888412476
147.png,hist_eq,45.09163284301758,0.3867352306842804,0.3847339451313019
149.png,clahe,26.702449798583984,0.1491050124168396,0.19242964684963226
149.png,gamma,27.782310485839844,0.16494017839431763,0.2898251712322235
149.png,log,29.987947463989258,0.1901329606771469,0.23259353637695312
149.png,retinex,36.000003814697266,0.1906442493200302,0.6628342866897583
149.png,hist_eq,30.978740692138672,0.2282133549451828,0.31069156527519226
15.png,clahe,26.287860870361328,0.23259015381336212,0.3768157958984375
15.png,gamma,27.386882781982422,0.274176687002182,0.5625749230384827
15.png,log,31.18731117248535,0.32191094756126404,0.3869723379611969
15.png,retinex,32.362735748291016,0.2821953594684601,0.5710470080375671
15.png,hist_eq,30.20061492919922,0.31245553493499756,0.48846182227134705
150.png,clahe,32.72442626953125,0.24142767488956451,0.21292884647846222
150.png,gamma,36.11654281616211,0.2947970926761627,0.38068562746047974
150.png,log,41.68986129760742,0.3421138823032379,0.3431519567966461
150.png,retinex,27.74933433532715,0.27853187918663025,0.542573869228363
150.png,hist_eq,36.71999740600586,0.345272958278656,0.2917345464229584
151.png,clahe,35.88317108154297,0.26145827770233154,0.3636570870876312
151.png,gamma,35.89736557006836,0.2679668068885803,0.5053548216819763
151.png,log,40.67225646972656,0.32180503010749817,0.607050895690918
