frame,t_s,cap_ms,enh_ms,assess_ms,total_ms,score
230,2.4285,2.7457,6.4152,1.1765,10.3374,52.9580
231,2.4389,2.7060,6.4622,1.1762,10.3444,52.9580
232,2.4497,3.1174,6.4914,1.2103,10.8191,52.9580
233,2.4602,2.8443,6.4876,1.1952,10.5271,52.9580
234,2.4706,2.7774,6.3891,1.1784,10.3449,52.9580
235,2.4810,2.8527,6.4308,1.1870,10.4705,52.9580
236,2.4914,2.7887,6.4263,1.1839,10.3989,52.9580
237,2.5018,2.7446,6.4323,1.1860,10.3629,52.9580
238,2.5122,2.8667,6.3759,1.1756,10.4182,52.9580
239,2.5226,2.7791,6.4346,1.1196,10.3333,40.5571
240,2.5328,2.7690,6.3860,1.1186,10.2736,40.6126
241,2.5433,2.8654,6.4339,1.1290,10.4283,40.5288
242,2.5536,2.8078,6.3869,1.1240,10.3187,40.3745
243,2.5639,2.7724,6.4445,1.1242,10.3411,40.1148
244,2.5743,2.8808,6.3854,1.1218,10.3880,40.0984
245,2.5847,2.7831,6.4585,1.1231,10.3647,39.5591
246,2.5950,2.7569,6.3836,1.1206,10.2611,39.8482
247,2.6055,2.9516,6.4392,1.1285,10.5193,39.5768
248,2.6159,2.8765,6.4214,1.1345,10.4324,39.5354
249,2.6263,2.7783,6.4656,1.1327,10.3766,39.4090
250,2.6367,2.9264,6.3900,1.1270,10.4434,39.5224
251,2.6471,2.8163,6.4374,1.1217,10.3754,39.7043
252,2.6574,2.7997,6.3803,1.1156,10.2956,39.3903
253,2.6679,2.8658,6.4300,1.1401,10.4359,39.3813
254,2.6783,2.8075,6.4522,1.1367,10.3964,39.4006
255,2.6885,2.7335,6.4152,1.1181,10.2668,39.4194
256,2.6989,2.8710,6.3825,1.1124,10.3659,39.4782
257,2.7092,2.8004,6.4045,1.1302,10.3351,39.6712
258,2.7195,2.8000,6.3905,1.1174,10.3079,39.7158
259,2.7300,2.9125,6.4086,1.1275,10.4486,40.0996
260,2.7404,2.8661,6.4347,1.1304,10.4312,40.1988
261,2.7508,2.8447,6.4073,1.1387,10.3907,40.3350
262,2.7611,2.7926,6.3821,1.1189,10.2936,40.2983
263,2.7715,2.8037,6.4444,1.1210,10.3691,41.0751
264,2.7818,2.8107,6.4060,1.1167,10.3334,40.4887
265,2.7923,2.9285,6.4284,1.1297,10.4866,40.1557
266,2.8026,2.7808,6.4126,1.1186,10.3120,40.4681
267,2.8130,2.7841,6.4174,1.1275,10.3290,40.0719
268,2.8234,2.9241,6.3714,1.1163,10.4118,40.1411
269,2.8338,2.7703,6.4423,1.1443,10.3569,39.4819
270,2.8441,2.8047,6.4123,1.1262,10.3432,37.7545
271,2.8546,2.8810,6.4224,1.1717,10.4751,37.1613
272,2.8650,2.8416,6.4331,1.1244,10.3991,35.8986
273,2.8753,2.7817,6.4330,1.1370,10.3517,36.1673
274,2.8858,2.8570,6.4107,1.1528,10.4205,36.4548
275,2.8961,2.7822,6.4139,1.1204,10.3165,37.2543
276,2.9064,2.8101,6.3899,1.1137,10.3137,37.6339
277,2.9168,2.8740,6.4004,1.1319,10.4063,37.6192
278,2.9271,2.7732,6.4112,1.1496,10.3340,37.8518
279,2.9375,2.8262,6.4388,1.1225,10.3875,38.9571
280,2.9479,2.8539,6.4087,1.1219,10.3845,38.9098
281,2.9584,2.8174,6.4804,1.1846,10.4824,38.8636
282,2.9689,2.8047,6.5133,1.1341,10.4521,39.4812
283,2.9791,2.7858,6.3829,1.1241,10.2928,39.1404
284,2.9895,2.8016,6.4544,1.1189,10.3749,39.5224
285,2.9999,2.7733,6.4724,1.1586,10.4043,39.7774
286,3.0103,2.7831,6.4452,1.1310,10.3593,40.4544
287,3.0207,2.8462,6.4212,1.1298,10.3972,40.5760
288,3.0310,2.7996,6.4244,1.1157,10.3397,40.6106
289,3.0413,2.7634,6.4212,1.1235,10.3081,40.5182
290,3.0518,2.9038,6.4252,1.1416,10.4706,40.8680
291,3.0623,2.8903,6.4230,1.1256,10.4389,40.7578
292,3.0726,2.7855,6.4271,1.1150,10.3276,40.8101
293,3.0830,2.7633,6.4727,1.1487,10.3847,41.0709
294,3.0934,2.8593,6.4239,1.1414,10.4246,41.2758
295,3.1040,2.9891,6.5066,1.1407,10.6364,41.4491
296,3.1145,2.8386,6.4738,1.1257,10.4381,41.6546
297,3.1249,2.7957,6.4886,1.1438,10.4281,41.9039
298,3.1353,2.8268,6.4392,1.1357,10.4017,41.9330
299,3.1457,2.8612,6.4035,1.1137,10.3784,42.5653
300,3.1560,2.7810,6.4130,1.1318,10.3258,42.7024
301,3.1665,2.8322,6.4783,1.1662,10.4767,42.4511
302,3.1768,2.7734,6.4239,1.1263,10.3236,42.6252
303,3.1872,2.7797,6.4375,1.1293,10.3465,42.1367
304,3.1976,2.7875,6.5050,1.1315,10.4240,42.4016
305,3.2080,2.7747,6.4680,1.1529,10.3956,41.5766
306,3.2184,2.7866,6.4309,1.1219,10.3394,41.8456
307,3.2287,2.7661,6.4225,1.1215,10.3101,41.9133
308,3.2391,2.7662,6.4599,1.1636,10.3897,41.2574
309,3.2494,2.7716,6.3894,1.1276,10.2886,41.9965
310,3.2597,2.7561,6.4520,1.1208,10.3289,42.4558
311,3.2701,2.8180,6.3867,1.1589,10.3636,43.3720
312,3.2804,2.8059,6.4257,1.1212,10.3528,42.7873
313,3.2908,2.8403,6.4049,1.1292,10.3744,42.9405
314,3.3012,2.8093,6.4641,1.1328,10.4062,43.0732
315,3.3116,2.7948,6.4398,1.1538,10.3884,43.4765
316,3.3220,2.8396,6.4640,1.1144,10.4180,43.5177
317,3.3324,2.7420,6.3979,1.2177,10.3576,44.3937
318,3.3427,2.7715,6.4305,1.1210,10.3230,44.2520
319,3.3531,2.8008,6.4247,1.1259,10.3514,44.8106
320,3.3635,2.8091,6.4476,1.2061,10.4628,45.4675
321,3.3739,2.7808,6.4360,1.1388,10.3556,45.8871
322,3.3843,2.8567,6.4579,1.1346,10.4492,46.7938
323,3.3948,2.8268,6.4491,1.2262,10.5021,47.6073
324,3.4052,2.8427,6.4386,1.1303,10.4116,47.2203
325,3.4157,2.8650,6.4218,1.1450,10.4318,47.6486
326,3.4261,2.8449,6.4642,1.1232,10.4323,47.5356
327,3.4364,2.7983,6.4072,1.1210,10.3265,49.2099
328,3.4469,2.7791,6.5332,1.1252,10.4375,48.8462
329,3.4573,2.7854,6.3949,1.1900,10.3703,48.8966
330,3.4676,2.7926,6.4425,1.1204,10.3555,49.5176
331,3.4780,2.7968,6.4233,1.1282,10.3483,50.2808
332,3.4884,2.8479,6.4824,1.1341,10.4644,51.2214
333,3.4988,2.8001,6.4695,1.1405,10.4101,51.7239
334,3.5092,2.7826,6.4455,1.1188,10.3469,51.6737
335,3.5196,2.8378,6.4674,1.1364,10.4416,52.8371
336,3.5301,2.8460,6.4550,1.1369,10.4379,52.8100
337,3.5405,2.8069,6.4654,1.1280,10.4003,53.3194
338,3.5510,2.8370,6.5106,1.1226,10.4702,53.5393
339,3.5613,2.7661,6.4250,1.1193,10.3104,54.0259
340,3.5716,2.7942,6.4397,1.1134,10.3473,54.1553
341,3.5820,2.7507,6.3881,1.1997,10.3385,54.2203
342,3.5923,2.7738,6.4366,1.1221,10.3325,54.2203
343,3.6026,2.7665,6.3943,1.1315,10.2923,54.2203
344,3.6130,2.8101,6.5111,1.1232,10.4444,54.2203
345,3.6233,2.7532,6.3741,1.1310,10.2583,54.2203
346,3.6338,2.8037,6.5372,1.1397,10.4806,54.2203
347,3.6442,2.8270,6.3701,1.1745,10.3716,54.2203
348,3.6547,2.9780,6.4713,1.1232,10.5725,54.2203
349,3.6650,2.7523,6.4049,1.1388,10.2960,54.2203
350,3.6754,2.8402,6.4418,1.1209,10.4029,54.2203
351,3.6858,2.8197,6.4064,1.1218,10.3479,54.2203
352,3.6962,2.8968,6.4088,1.1167,10.4223,54.2203
353,3.7066,2.8347,6.4336,1.1289,10.3972,54.2203
354,3.7170,2.7788,6.4255,1.1260,10.3303,54.2203
355,3.7273,2.8676,6.3886,1.1127,10.3689,54.2203
356,3.7378,2.8635,6.4920,1.1204,10.4759,54.2203
357,3.7481,2.8144,6.3809,1.1195,10.3148,54.2203
358,3.7585,2.7678,6.4570,1.1168,10.3416,54.2203
359,3.7688,2.7787,6.3739,1.1779,10.3305,54.2203
360,3.7792,2.7858,6.4598,1.1187,10.3643,54.2203
361,3.7895,2.8434,6.3895,1.1347,10.3676,54.2203
362,3.7999,2.8012,6.4504,1.1359,10.3875,54.2203
363,3.8103,2.8613,6.3916,1.1233,10.3762,54.2203
364,3.8208,2.8235,6.4826,1.1662,10.4723,54.2203
365,3.8311,2.8152,6.4049,1.1441,10.3642,54.2203
366,3.8415,2.7918,6.4298,1.1193,10.3409,54.2203
367,3.8518,2.7705,6.4158,1.1490,10.3353,54.2203
368,3.8623,2.8122,6.4445,1.1861,10.4428,54.2203
369,3.8727,2.8177,6.4447,1.1137,10.3761,54.2203
370,3.8832,2.7829,6.6601,1.1329,10.5759,54.2203
371,3.8936,2.7830,6.3904,1.1388,10.3122,54.2203
372,3.9039,2.7748,6.4034,1.1204,10.2986,54.2203
373,3.9142,2.8033,6.4073,1.1317,10.3423,54.2203
374,3.9245,2.7721,6.3970,1.1100,10.2791,54.2203
375,3.9349,2.8880,6.4471,1.1273,10.4624,54.2203
376,3.9453,2.8157,6.4256,1.1310,10.3723,54.2203
377,3.9557,2.7890,6.3871,1.1766,10.3527,54.2203
378,3.9660,2.7736,6.4110,1.1097,10.2943,54.2203
379,3.9763,2.7482,6.4116,1.1254,10.2852,54.2203
380,3.9867,2.7767,6.4553,1.1555,10.3875,54.2203
381,3.9970,2.7952,6.3960,1.1107,10.3019,54.2203
382,4.0073,2.7661,6.4357,1.1186,10.3204,54.2203
383,4.0176,2.8011,6.4102,1.1182,10.3295,54.2203
384,4.0280,2.8368,6.4063,1.1259,10.3690,54.2203
385,4.0383,2.7987,6.4185,1.1146,10.3318,54.2203
386,4.0486,2.8140,6.3913,1.1186,10.3239,54.2203
387,4.0590,2.8309,6.4055,1.1358,10.3722,54.2203
388,4.0694,2.7961,6.4309,1.1134,10.3404,54.2203
389,4.0796,2.7574,6.3901,1.1080,10.2555,54.2203
390,4.0900,2.8554,6.4301,1.1211,10.4066,54.2203
391,4.1003,2.7327,6.4458,1.1163,10.2948,54.2203
392,4.1107,2.7755,6.4418,1.1079,10.3252,54.2203
393,4.1211,2.8667,6.4409,1.1106,10.4182,54.2203
394,4.1315,2.7970,6.4935,1.1318,10.4223,54.2203
395,4.1419,2.8137,6.4607,1.1340,10.4084,54.2203
396,4.1524,2.9511,6.4625,1.1146,10.5282,54.2203
397,4.1629,2.8055,6.4630,1.1347,10.4032,54.2203
398,4.1732,2.8165,6.4385,1.1392,10.3942,54.2203
399,4.1837,2.9302,6.4211,1.1160,10.4673,54.2203
400,4.1941,2.7931,6.4562,1.1183,10.3676,54.2203
401,4.2045,2.8731,6.4372,1.1194,10.4297,54.2203
402,4.2150,2.8895,6.4578,1.1223,10.4696,54.2203
403,4.2253,2.7695,6.4262,1.1071,10.3028,54.2203
404,4.2357,2.8511,6.4399,1.1118,10.4028,54.2203
405,4.2461,2.7457,6.4904,1.1278,10.3639,54.2203
406,4.2564,2.7965,6.4195,1.1411,10.3571,54.2203
407,4.2670,2.9460,6.4359,1.1470,10.5289,54.2203
408,4.2773,2.8248,6.4123,1.1247,10.3618,54.2203
409,4.2878,2.8209,6.4589,1.1382,10.4180,54.2203
410,4.2981,2.7990,6.4006,1.1532,10.3528,54.2203
411,4.3085,2.8043,6.4334,1.1032,10.3409,54.2203
412,4.3190,2.7937,6.4662,1.2351,10.4950,54.2203
413,4.3292,2.7391,6.4281,1.1118,10.2790,54.2203
414,4.3396,2.8396,6.3882,1.1108,10.3386,54.2203
415,4.3499,2.7649,6.4617,1.1204,10.3470,54.2203
416,4.3602,2.7770,6.4060,1.1259,10.3089,54.2203
417,4.3707,2.8645,6.4297,1.1366,10.4308,54.2203
418,4.3811,2.8459,6.4508,1.1129,10.4096,54.2203
419,4.3915,2.7757,6.4656,1.1429,10.3842,54.2203
420,4.4019,2.9020,6.4161,1.1423,10.4604,54.2203
421,4.4124,2.8681,6.4577,1.1123,10.4381,54.2203
422,4.4226,2.7525,6.3971,1.1072,10.2568,54.2203
423,4.4329,2.7496,6.4233,1.1181,10.2910,54.2203
424,4.4433,2.8794,6.4019,1.1122,10.3935,54.2203
425,4.4537,2.7770,6.4472,1.1049,10.3291,54.2203
426,4.4639,2.7582,6.4156,1.1135,10.2873,54.2203
427,4.4745,2.9333,6.4518,1.1306,10.5157,54.2203
428,4.4849,2.7983,6.4638,1.1359,10.3980,54.2203
429,4.4952,2.8121,6.4230,1.1187,10.3538,54.2203
430,4.5056,2.7668,6.4341,1.1373,10.3382,54.2203
431,4.5160,2.8158,6.4475,1.1320,10.3953,54.2203
432,4.5263,2.8497,6.4038,1.1093,10.3628,54.2203
433,4.5367,2.7591,6.4525,1.1153,10.3269,54.2203
