filename,method,psnr,ssim,entropy
117.png,log,5.662215512340456,0.16314707696437836,5.519952297210693
117.png,retinex,10.122227672106279,0.5513398051261902,5.429294586181641
117.png,hist_eq,14.543268502740167,0.2870968282222748,7.332111358642578
118.png,clahe,5.817368567880276,0.161504864692688,4.617922782897949
118.png,gamma,6.10342853385416,0.18352986872196198,5.224058628082275
118.png,log,6.289055927543906,0.19257201254367828,5.736320972442627
118.png,retinex,10.71723800378666,0.5234320759773254,5.544182777404785
118.png,hist_eq,14.423547837098791,0.2891447842121124,7.329215049743652
119.png,clahe,12.348168586673404,0.5829702019691467,5.737303733825684
119.png,gamma,14.123788068304062,0.6823286414146423,5.761594772338867
119.png,log,22.79595817820742,0.7966349720954895,6.954764366149902
119.png,retinex,4.833311156926518,0.5142708420753479,4.667479038238525
119.png,hist_eq,12.368494053638031,0.4726655185222626,7.944457054138184
12.png,clahe,6.729794996429922,0.14884282648563385,4.7728190422058105
12.png,gamma,6.868425211945413,0.15527839958667755,5.470062255859375
12.png,log,8.743039602485146,0.3070523738861084,6.583155632019043
12.png,retinex,9.273897081187096,0.42879518866539,6.535662651062012
12.png,hist_eq,17.47909227563114,0.5140754580497742,7.150184631347656
120.png,clahe,5.858470817743293,0.3256694972515106,5.713044166564941
120.png,gamma,6.660934832134743,0.4212045669555664,5.788609027862549
120.png,log,8.948188012374004,0.5736186504364014,6.887686729431152
120.png,retinex,9.513397369702078,0.7063135504722595,4.649860382080078
120.png,hist_eq,13.949963471922723,0.46918201446533203,7.934743404388428
121.png,clahe,7.6451977621163705,0.16579611599445343,4.570849418640137
121.png,gamma,7.850534368972818,0.16360972821712494,5.257611274719238
121.png,log,8.011586994016916,0.16770754754543304,5.59829044342041
121.png,retinex,9.26255812730897,0.4093591272830963,6.3030781745910645
121.png,hist_eq,15.591754005539899,0.33756697177886963,7.107614517211914
122.png,clahe,7.0973836432399695,0.1576891392469406,4.496498107910156
122.png,gamma,7.364832046564636,0.17073118686676025,5.247540473937988
122.png,log,7.664755826635724,0.18668359518051147,5.751288414001465
122.png,retinex,9.365890160788034,0.4385626018047333,6.026479721069336
