filename,method,clipiqa_plus
152.png,clahe,0.3735102117061615
152.png,gamma,0.46650782227516174
152.png,log,0.4608426094055176
152.png,retinex,0.42126765847206116
152.png,hist_eq,0.4677688479423523
154.png,clahe,0.3400287628173828
154.png,gamma,0.433369904756546
154.png,log,0.42665326595306396
154.png,retinex,0.32564327120780945
154.png,hist_eq,0.36791566014289856
157.png,clahe,0.6523508429527283
157.png,gamma,0.6756488084793091
157.png,log,0.6777423620223999
157.png,retinex,0.5586581230163574
157.png,hist_eq,0.5883039236068726
159.png,clahe,0.4223206043243408
159.png,gamma,0.4104636311531067
159.png,log,0.4854446053504944
159.png,retinex,0.5380643606185913
159.png,hist_eq,0.3789718449115753
16.png,clahe,0.35519757866859436
16.png,gamma,0.433981716632843
16.png,log,0.4965062737464905
16.png,retinex,0.39702072739601135
16.png,hist_eq,0.3494732975959778
160.png,clahe,0.40653517842292786
160.png,gamma,0.4298965334892273
160.png,log,0.46411117911338806
160.png,retinex,0.47345203161239624
160.png,hist_eq,0.3898078203201294
162.png,clahe,0.41524288058280945
162.png,gamma,0.5424497723579407
162.png,log,0.5177949666976929
162.png,retinex,0.4756312370300293
162.png,hist_eq,0.4445953965187073
167.png,clahe,0.5181995034217834
167.png,gamma,0.557610034942627
167.png,log,0.6504919528961182
167.png,retinex,0.46787211298942566
167.png,hist_eq,0.598347008228302
169.png,clahe,0.4839951992034912
169.png,gamma,0.5716503262519836
169.png,log,0.6545978784561157
169.png,retinex,0.5034376978874207
169.png,hist_eq,0.48320019245147705
17.png,clahe,0.5105941891670227
17.png,gamma,0.533164381980896
17.png,log,0.5982422828674316
17.png,retinex,0.6175097227096558
17.png,hist_eq,0.5895774364471436
171.png,clahe,0.39114972949028015
171.png,gamma,0.3913336992263794
171.png,log,0.42875513434410095
171.png,retinex,0.38904181122779846
171.png,hist_eq,0.38635095953941345
172.png,clahe,0.25256654620170593
172.png,gamma,0.31560370326042175
172.png,log,0.33654820919036865
172.png,retinex,0.32965975999832153
172.png,hist_eq,0.24624118208885193
173.png,clahe,0.46183112263679504
173.png,gamma,0.48753660917282104
173.png,log,0.4976310729980469
173.png,retinex,0.47870802879333496
173.png,hist_eq,0.4887969195842743
174.png,clahe,0.4986073672771454
174.png,gamma,0.5623518228530884
174.png,log,0.5739442706108093
174.png,retinex,0.5416536927223206
174.png,hist_eq,0.5026831030845642
175.png,clahe,0.2985488772392273
175.png,gamma,0.40172815322875977
175.png,log,0.3207037150859833
175.png,retinex,0.3918403685092926
175.png,hist_eq,0.3357197642326355
176.png,clahe,0.41281768679618835
176.png,gamma,0.4912194609642029
176.png,log,0.4972214996814728
176.png,retinex,0.5252061486244202
176.png,hist_eq,0.4348950684070587
18.png,clahe,0.4957174062728882
18.png,gamma,0.5624886155128479
18.png,log,0.6116257309913635
18.png,retinex,0.5936725735664368
18.png,hist_eq,0.6212297081947327
180.png,clahe,0.3989933133125305
180.png,gamma,0.42044204473495483
180.png,log,0.42390862107276917
180.png,retinex,0.468118816614151
180.png,hist_eq,0.3088352084159851
183.png,clahe,0.295948326587677
183.png,gamma,0.29959625005722046
183.png,log,0.3185853362083435
183.png,retinex,0.4578254818916321
183.png,hist_eq,0.23790636658668518
184.png,clahe,0.36322855949401855
184.png,gamma,0.4943077564239502
184.png,log,0.4597260355949402
184.png,retinex,0.4121595025062561
184.png,hist_eq,0.5073537230491638
185.png,clahe,0.42012208700180054
185.png,gamma,0.4540683329105377
185.png,log,0.4408942461013794
185.png,retinex,0.39016082882881165
185.png,hist_eq,0.5181311964988708
186.png,clahe,0.5027563571929932
186.png,gamma,0.6355876326560974
186.png,log,0.5897812247276306
186.png,retinex,0.4817202687263489
186.png,hist_eq,0.6453884243965149
187.png,clahe,0.5193037390708923
187.png,gamma,0.5955646634101868
187.png,log,0.5605738162994385
187.png,retinex,0.5219039916992188
187.png,hist_eq,0.6350263953208923
188.png,clahe,0.4084760546684265
188.png,gamma,0.4377603828907013
188.png,log,0.5251678824424744
188.png,retinex,0.4918961524963379
188.png,hist_eq,0.487646222114563
189.png,clahe,0.42565324902534485
189.png,gamma,0.5050423741340637
189.png,log,0.5437433123588562
189.png,retinex,0.6168977618217468
189.png,hist_eq,0.5102619528770447
191.png,clahe,0.4238699972629547
191.png,gamma,0.5020754337310791
191.png,log,0.5904107689857483
191.png,retinex,0.4928879737854004
191.png,hist_eq,0.5121381282806396
193.png,clahe,0.5645120739936829
193.png,gamma,0.6485676765441895
193.png,log,0.6879803538322449
193.png,retinex,0.5289304852485657
193.png,hist_eq,0.6792582869529724
194.png,clahe,0.5271947979927063
194.png,gamma,0.5436264276504517
194.png,log,0.5728436708450317
194.png,retinex,0.5884459614753723
194.png,hist_eq,0.5745411515235901
195.png,clahe,0.37405532598495483
195.png,gamma,0.3987470865249634
195.png,log,0.41930660605430603
195.png,retinex,0.46078264713287354
195.png,hist_eq,0.2684631943702698
196.png,clahe,0.39842429757118225
196.png,gamma,0.4807429313659668
196.png,log,0.5608502626419067
196.png,retinex,0.5340107083320618
196.png,hist_eq,0.27766919136047363
198.png,clahe,0.45737719535827637
198.png,gamma,0.5192951560020447
198.png,log,0.6203429102897644
198.png,retinex,0.511992335319519
198.png,hist_eq,0.5047973394393921
199.png,clahe,0.32886403799057007
199.png,gamma,0.3861142694950104
199.png,log,0.3685106635093689
199.png,retinex,0.553383469581604
199.png,hist_eq,0.3401079475879669
2.png,clahe,0.4918186366558075
2.png,gamma,0.5911969542503357
2.png,log,0.6310151219367981
2.png,retinex,0.527260422706604
2.png,hist_eq,0.4949647784233093
200.png,clahe,0.291048139333725
200.png,gamma,0.2983827292919159
200.png,log,0.25653305649757385
200.png,retinex,0.3049933910369873
200.png,hist_eq,0.3385668694972992
201.png,clahe,0.47885963320732117
201.png,gamma,0.5577674508094788
201.png,log,0.5660258531570435
201.png,retinex,0.48526498675346375
201.png,hist_eq,0.6023743152618408
202.png,clahe,0.45806246995925903
202.png,gamma,0.5471602082252502
202.png,log,0.5914515852928162
202.png,retinex,0.3382481038570404
202.png,hist_eq,0.5960568785667419
203.png,clahe,0.18921132385730743
203.png,gamma,0.35610392689704895
203.png,log,0.4087901711463928
203.png,retinex,0.4506065547466278
203.png,hist_eq,0.2606663405895233
204.png,clahe,0.38562700152397156
204.png,gamma,0.5072269439697266
204.png,log,0.5722837448120117
204.png,retinex,0.4624936878681183
204.png,hist_eq,0.45260655879974365
206.png,clahe,0.4819202423095703
206.png,gamma,0.5371909737586975
206.png,log,0.56836998462677
206.png,retinex,0.5744684934616089
