filename,method,lpips,niqe,brisque,psnr_check,ssim_check,entropy_check
102.png,log,0.17374272644519806,8.66325217647373,23.38507080078125,15.329490057215512,0.438863068819046,5.640290260314941
102.png,retinex,0.8123670220375061,11.126121121011485,25.91790771484375,4.870244071363617,0.3065650761127472,6.318168640136719
102.png,hist_eq,0.31277692317962646,9.180550345215737,31.48797607421875,10.961844064622394,0.45405396819114685,7.4893951416015625
103.png,clahe,0.5548850297927856,14.379942185326557,43.00408935546875,10.482746863865069,0.22395211458206177,4.147236347198486
103.png,gamma,0.48286256194114685,10.408233085912132,28.52679443359375,10.618093343026105,0.17316977679729462,5.02975606918335
103.png,log,0.5222082138061523,9.994823211128027,14.61224365234375,10.446493868071245,0.12009049206972122,4.587087631225586
103.png,retinex,0.8446772694587708,11.871750654749672,63.31219482421875,9.408702926891776,0.3217233717441559,7.108628273010254
103.png,hist_eq,0.5631336569786072,10.043233861614329,62.41815185546875,14.67869497984962,0.3702991008758545,6.142407417297363
104.png,clahe,0.6136017441749573,13.088591687262273,43.18206787109375,8.56067083818661,0.1613352745771408,4.163101673126221
104.png,gamma,0.5422499179840088,9.930402937838235,28.39129638671875,8.631258148897901,0.13952411711215973,5.0629096031188965
104.png,log,0.5827559232711792,9.068385777081579,15.22137451171875,8.448833948447179,0.10159512609243393,4.62798547744751
104.png,retinex,0.8475215435028076,11.6567464175652,65.89422607421875,11.093235475651682,0.3713841736316681,7.1088457107543945
104.png,hist_eq,0.5770270228385925,10.810280900692979,60.76190185546875,15.220033708013727,0.3727603852748871,6.153707027435303
105.png,clahe,0.4279670715332031,8.052822802952013,13.29388427734375,7.332101119202213,0.25829148292541504,5.511499881744385
105.png,gamma,0.32632729411125183,7.454660182175492,9.86444091796875,7.79564968340233,0.3214515149593353,5.626238822937012
105.png,log,0.3052350580692291,7.932777284218121,13.48992919921875,8.121343283325672,0.342780202627182,6.098747253417969
105.png,retinex,0.6096857786178589,9.86747971722806,4.03778076171875,8.16738336360221,0.5260357856750488,5.2570390701293945
