dataset,filename,method,brightness,contrast,entropy,colorfulness,sharpness,noise,niqe,brisque,musiq,maniqa,clipiqa
NPE,sculpture.JPG,retinex,0.8947309307023591,0.06288197525973331,5.018488883972168,0.14659882627975507,0.009243590192799842,0.003987416253627402,10.349453177902742,49.14080810546875,41.3534049987793,0.24144969880580902,0.2570364773273468
NPE,sculpture.JPG,hist_eq,0.501649445178462,0.26098499831716904,7.807541370391846,0.3113091335877746,0.003652611177343759,0.003711180350333858,4.948805972663075,21.48309326171875,48.35732650756836,0.3345337212085724,0.3732655942440033
NPE,skyscraper.jpg,clahe,0.32343851725260414,0.26121097270205196,7.54711389541626,0.06663357647653032,0.023969429438784776,0.01646422358303664,6.122552881184738,27.12420654296875,62.756202697753906,0.4967218339443207,0.5403141379356384
NPE,skyscraper.jpg,gamma,0.363070738549326,0.29392494185868956,7.30706787109375,0.05553513968032167,0.012265754015468167,0.010907915384448609,8.263512945391817,32.66180419921875,62.86397171020508,0.4726334512233734,0.48429355025291443
NPE,skyscraper.jpg,log,0.3202405144186581,0.3228553573583222,7.197976112365723,0.06307261598805174,0.012429045370347749,0.01018118996796997,8.276110358264589,31.25360107421875,63.252952575683594,0.48501354455947876,0.556228756904602
NPE,skyscraper.jpg,retinex,0.8816715016084559,0.06293535211841614,5.49869966506958,0.06803129965166636,0.017283821460181866,0.009971460943765026,11.696554730198553,59.81024169921875,52.283363342285156,0.43818992376327515,0.5011776089668274
NPE,skyscraper.jpg,hist_eq,0.5041399787454044,0.28573044002197784,7.818207263946533,0.045660666692321134,0.04155849953125468,0.022860031940383753,8.283578302981935,33.03289794921875,59.1541862487793,0.4753192961215973,0.39803850650787354
VV,P1000205.jpg,clahe,0.39121931487438727,0.30172071525395056,7.577468395233154,0.12296360637537353,0.010927019711356125,0.012526300230265934,3.17897942634871,16.23358154296875,54.88393020629883,0.47649702429771423,0.7724650502204895
VV,P1000205.jpg,gamma,0.4596332624846814,0.3357468151980356,7.585775375366211,0.105364473993413,0.003751313596421775,0.006868593800215214,3.193410190331241,9.74139404296875,50.495845794677734,0.4490065574645996,0.6477328538894653
VV,P1000205.jpg,log,0.41424488740808824,0.3576144265581704,7.46564245223999,0.11205812182836491,0.003792638270576835,0.006489461419614678,3.395963308315851,10.62957763671875,51.483314514160156,0.4499801695346832,0.653623104095459
