filename,method,brightness,contrast,entropy,colorfulness,sharpness,noise
113.png,hist_eq,0.5280966964422488,0.28007568307853364,7.374475479125977,0.21671854771348809,0.11000127043645229,0.06587289255048402
114.png,clahe,0.06283671061197917,0.033087048199736055,4.558158874511719,0.014382493232934907,0.0013349329652848358,0.007223601883322746
114.png,gamma,0.0711178648705576,0.04149084567899838,5.174250602722168,0.029087707430718018,0.001720824396951709,0.00806851096351973
114.png,log,0.06235267788756128,0.05435067101366237,5.278039455413818,0.032033575198136446,0.0023367498347249996,0.008678627144116411
114.png,retinex,0.7852543251187194,0.16535501423729035,5.793317794799805,0.32473826632043973,0.1896883419466587,0.05787558635556469
114.png,hist_eq,0.5081570494408701,0.28836673440804017,7.417104244232178,0.21305600448448084,0.10984641556187989,0.0646792477045277
115.png,clahe,0.07936048320695466,0.048932593317478526,5.068210124969482,0.023594557055732254,0.001891940130434303,0.008227325023015762
115.png,gamma,0.10375605564491422,0.0738631704324769,5.3871307373046875,0.04889601368835302,0.0015142824529730693,0.0071024725159105195
115.png,log,0.06293562346813726,0.05671972752032114,4.8257951736450195,0.03925078916512317,0.0008414990439587078,0.004570564009026642
115.png,retinex,0.6990696327359068,0.19805012690735405,5.939065933227539,0.352997434894926,0.19464383787879422,0.05491507796122094
115.png,hist_eq,0.46479348575367646,0.3090765232825447,7.221756935119629,0.17900679954119275,0.04048762208908175,0.04056498084048412
116.png,clahe,0.07776231952742034,0.049232222698553554,4.895530700683594,0.021479169607576298,0.00180316176666509,0.007972013773547726
116.png,gamma,0.10194971421185661,0.07488105565650287,5.407304286956787,0.04241455405531159,0.0014738647058113452,0.0069814193304903755
116.png,log,0.06489359537760417,0.06036933641022035,4.846174240112305,0.034458264093153466,0.000890302168536947,0.00473651378178113
116.png,retinex,0.7224629121668199,0.21468470611685256,5.816863059997559,0.29018556359419667,0.19339566130837033,0.05346183028024255
116.png,hist_eq,0.46800979913449753,0.3083744515597579,7.379744529724121,0.1580475412080677,0.04173216265355198,0.04112336944845634
117.png,clahe,0.06136516496246936,0.02628281971888005,4.519396781921387,0.01766637829552297,0.0012759595354879328,0.0073660622085182596
117.png,gamma,0.07842455097273285,0.03709926096166859,5.18406343460083,0.03974898500948622,0.0013014295499990968,0.007429801141894504
117.png,log,0.07851029938342524,0.050071151081558976,5.519952297210693,0.05712963534235505,0.0020991684311606287,0.00929013999456795
117.png,retinex,0.84321761785769,0.12980657767757878,5.429294586181641,0.2246021796438119,0.13306884007892933,0.0394819776410299
117.png,hist_eq,0.5232734829771752,0.28285325997650307,7.332111358642578,0.20378112292886494,0.07797912164049861,0.05613952572597625
118.png,clahe,0.06661065793504901,0.027484403855863558,4.617922782897949,0.018396517398248744,0.0012600326267103651,0.007199553767821828
118.png,gamma,0.08622304878982844,0.03837249432721945,5.224058628082275,0.04718295790597106,0.0012321136832260159,0.007130558276991845
118.png,log,0.09650555778952206,0.05849203724069368,5.736320972442627,0.07529229379239397,0.0026098850334757098,0.010240281799829143
118.png,retinex,0.8256743786381741,0.10079572288312227,5.544182777404785,0.36630126223967285,0.0661259460779747,0.03296780786198292
118.png,hist_eq,0.5161977132161458,0.28397307124052973,7.329215049743652,0.23472868963760374,0.07070843223489173,0.05294267539819317
119.png,clahe,0.1352658140893076,0.056457321724122544,5.737303733825684,0.026123702661917873,0.0021000764999318093,0.0077994615614793645
119.png,gamma,0.1811404957490809,0.056170362531686065,5.761594772338867,0.046674365804113764,0.0009931731383183377,0.0051190235640306845
119.png,log,0.30733265596277576,0.12759082377230455,6.954764366149902,0.09662838464727007,0.004707172141907761,0.011119295018482021
119.png,retinex,0.9283367082184436,0.04075618876396981,4.667479038238525,0.16806473744184497,0.00579094663243748,0.007341226879099147
119.png,hist_eq,0.5146293490540748,0.2866300559145564,7.944457054138184,0.14025780704095397,0.02532826321021221,0.025940679336242643
12.png,clahe,0.06786116057751225,0.04479155574714734,4.7728190422058105,0.01503190490773061,0.002208198695996778,0.007206181601133063
12.png,gamma,0.07313603419883578,0.05433409738331044,5.470062255859375,0.030211546734064693,0.0026303131143021463,0.008057616938651839
12.png,log,0.1524725222120098,0.15434002253486442,6.583155632019043,0.07135890815938677,0.019294876179606672,0.01817049705372057
12.png,retinex,0.7757625205844056,0.21004100849330093,6.535662651062012,0.40457649866169787,0.28055933490965224,0.07665830729166291
12.png,hist_eq,0.4836504767922794,0.28810589503782535,7.150184631347656,0.19609980142976327,0.09589910130392114,0.05243367811508821
120.png,clahe,0.12913944019990808,0.05603982091009378,5.713044166564941,0.02255777245887075,0.0020651905276117613,0.007900123367018582
120.png,gamma,0.17361839144837624,0.05689741553826652,5.788609027862549,0.036473459040008,0.001049920103137812,0.005316665045491766
120.png,log,0.2790912702971814,0.12261377949139972,6.887686729431152,0.07749361889482939,0.00432827501838489,0.010780386729701398
120.png,retinex,0.9288892558976716,0.04476791374702722,4.649860382080078,0.06673127773401699,0.010959944309783481,0.006472777563348467
120.png,hist_eq,0.515988099341299,0.2858436737234335,7.934743404388428,0.13333326468320975,0.025231821135639633,0.02608542512120065
121.png,clahe,0.05764411477481618,0.02917813006490312,4.570849418640137,0.019161212443141454,0.0014946313652681507,0.007587320107525121
121.png,gamma,0.06720162185968137,0.042609825741117394,5.257611274719238,0.047589040450456525,0.0017675278121258194,0.00811475343271421
121.png,log,0.07297776166130515,0.06156635205633289,5.59829044342041,0.07134983706871598,0.003217972187076146,0.01012920845537189
121.png,retinex,0.7425130208333334,0.20128696955890346,6.3030781745910645,0.4370172189726254,0.26667312196009035,0.07476460072645705
121.png,hist_eq,0.4797100590724571,0.2912608757402986,7.107614517211914,0.26535090094916286,0.08403413258140613,0.05545482737513014
